project_id,employee_id,task_completion_rate,hours_logged,contribution_score
P200,E1060,0.67,45.1,0.64
P200,E1065,0.98,100.4,0.67
P200,E1011,0.86,46.9,0.01
P200,E1088,0.6,86.2,0.35
P200,E1020,0.89,89.2,0.05
P200,E1082,0.72,56.2,0.17
P200,E1054,0.71,107.0,0.35
P200,E1058,0.69,101.2,0.79
P200,E1046,0.79,93.4,0.23
P201,E1078,0.73,97.9,0.03
P201,E1036,0.51,38.7,0.1
P201,E1016,0.67,107.7,0.16
P201,E1004,0.54,113.6,0.98
P201,E1027,0.67,118.4,0.89
P201,E1076,0.85,57.4,0.65
P201,E1081,0.8,57.8,0.05
P201,E1057,0.67,117.2,0.41
P202,E1072,0.78,111.8,0.54
P202,E1038,0.83,42.7,0.1
P202,E1066,0.7,70.5,0.49
P202,E1032,0.53,10.4,0.09
P202,E1093,0.91,78.8,0.48
P203,E1047,0.55,32.8,0.64
P203,E1030,0.99,62.1,0.12
P203,E1017,0.89,61.8,0.89
P203,E1020,0.63,80.6,0.39
P203,E1011,0.69,52.0,0.19
P203,E1066,0.52,58.4,0.26
P203,E1025,0.92,72.1,0.15
P203,E1065,0.85,20.6,0.67
P203,E1013,0.9,55.5,0.76
P203,E1046,0.61,16.7,0.39
P203,E1052,0.76,116.2,0.69
P204,E1080,0.97,73.0,0.24
P204,E1085,0.65,53.4,0.85
P204,E1084,0.52,72.8,0.52
P204,E1043,0.79,118.1,0.15
P204,E1044,0.97,59.4,0.95
P205,E1029,0.58,33.3,0.19
P205,E1054,0.52,18.6,0.68
P205,E1079,0.6,100.5,0.15
P205,E1033,0.8,45.2,0.73
P205,E1017,0.9,19.6,0.56
P205,E1030,0.78,104.2,0.52
P206,E1029,0.96,11.4,0.7
P206,E1076,0.79,96.0,0.11
P206,E1004,0.57,72.3,0.58
P206,E1054,0.98,21.0,0.11
P206,E1085,0.89,96.4,0.87
P206,E1088,0.94,106.6,0.26
P206,E1055,0.83,72.9,0.47
P207,E1071,0.59,54.3,0.62
P207,E1093,0.84,54.2,0.4
P207,E1013,0.94,86.0,0.05
P207,E1010,0.74,39.5,0.37
P207,E1045,0.67,97.3,0.31
P207,E1058,0.92,104.4,0.68
P208,E1080,0.99,35.1,0.3
P208,E1082,0.87,95.1,0.32
P208,E1061,0.86,76.5,0.09
P208,E1098,0.72,110.5,0.41
P208,E1088,0.74,66.8,0.37
P208,E1011,0.53,97.1,0.07
P208,E1019,0.85,54.4,0.78
P208,E1046,0.76,72.6,0.17
P208,E1095,0.94,32.1,0.06
P208,E1066,0.52,15.6,0.36
P208,E1069,0.6,50.5,0.46
P209,E1078,0.7,111.5,0.68
P209,E1019,0.62,63.8,0.45
P209,E1085,0.98,62.2,0.55
P209,E1096,0.67,102.1,0.26
P209,E1090,0.92,19.9,0.03
P209,E1027,0.52,103.9,0.78
P209,E1099,0.61,34.3,0.23
P209,E1064,0.6,81.7,0.51
P209,E1077,0.93,116.4,0.68
P210,E1018,0.74,24.6,0.17
P210,E1081,0.9,34.6,0.61
P210,E1022,0.97,88.4,0.71
P210,E1044,0.64,108.5,0.85
P210,E1024,0.73,34.0,0.3
P211,E1029,0.76,78.6,0.58
P211,E1033,0.5,119.9,0.97
P211,E1052,0.92,71.8,0.59
P211,E1081,0.64,85.3,0.48
P211,E1042,0.67,40.4,0.33
P211,E1012,0.64,82.2,0.95
P211,E1037,0.83,30.7,0.52
P211,E1030,0.62,16.2,0.86
P211,E1085,0.91,54.5,0.32
P212,E1047,0.57,12.8,0.5
P212,E1095,0.65,109.8,0.4
P212,E1044,0.87,74.1,0.99
P212,E1093,0.91,47.7,0.71
P212,E1083,0.84,80.2,0.48
P212,E1013,0.97,49.4,0.3
P213,E1072,0.58,82.3,0.56
P213,E1090,0.65,61.8,0.74
P213,E1089,0.86,71.5,0.91
P213,E1022,0.97,109.0,0.65
P213,E1024,0.61,34.6,0.87
P213,E1099,0.71,107.6,0.37
